,features
590,"{
  ""features"": [
    {
      ""categoria"": ""Essential Oils"",
      ""material"": ""Natural"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Plant Therapy""
    }
  ]
}"
591,"{
  ""features"": [
    {
      ""categoria"": ""Power Tool Storage"",
      ""material"": ""Wooden"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Previous page""
    }
  ]
}"
592,"{
  ""features"": [
    {
      ""categoria"": ""Magnet Fishing"",
      ""material"": ""Neodymium magnet + A3 Steel Plate + Stainless Steel Eye-bolt"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""EVISWIY""
    }
  ]
}"
593,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Nike""
    }
  ]
}"
594,"{
  ""features"": [
    {
      ""categoria"": ""slippers"",
      ""material"": ""sweater knits, metallic, sequins, chunky yarns, marled textures"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""variedade de cores"",
      ""marca"": ""MUK LUKS""
    }
  ]
}"
595,"{
  ""features"": [
    {
      ""categoria"": ""Tap Socket Set"",
      ""material"": ""Heat Treated Alloy Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Lisle""
    }
  ]
}"
596,"{
  ""features"": [
    {
      ""categoria"": ""Esporte e Lazer"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Allen Company""
    }
  ]
}"
597,"{
  ""features"": [
    {
      ""categoria"": ""Night Light"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""GE""
    }
  ]
}"
598,"{
  ""features"": [
    {
      ""categoria"": ""Laptop Briefcase Shoulder Bag"",
      ""material"": ""high-grade durable waterproof material, PU leather"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Rose"",
      ""marca"": ""iCozzier""
    }
  ]
}"
599,"{
  ""features"": [
    {
      ""categoria"": ""Glass Screen Protector"",
      ""material"": ""Tempered Glass"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""J&D""
    }
  ]
}"
600,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
601,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Wir sind nicht wir""
    }
  ]
}"
602,"{
  ""features"": [
    {
      ""categoria"": ""Ankle Bracelets"",
      ""material"": ""Brass"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Ouro"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
603,"{
  ""features"": [
    {
      ""categoria"": ""Óculos de Sol"",
      ""material"": ""Madeira de Faia"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Hu wood""
    }
  ]
}"
604,"{
  ""features"": [
    {
      ""categoria"": ""Shapewear"",
      ""material"": ""Finest fabrics"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Shapermint""
    }
  ]
}"
605,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Hanging Lantern"",
      ""material"": ""Clear Beveled Glass"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Nuvo Lighting""
    }
  ]
}"
606,"{
  ""features"": [
    {
      ""categoria"": ""Garment Storage, Shoe Storage, Hangers, Containers, Laundry, Shelving, Carts, Holiday"",
      ""material"": ""Woven Strap"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Whitmor""
    }
  ]
}"
607,"{
  ""features"": [
    {
      ""categoria"": ""Razor Blade Sharpener and Cleaner"",
      ""material"": ""Synthetic rubber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""YYHJM""
    }
  ]
}"
608,"{
  ""features"": [
    {
      ""categoria"": ""Tratamento para inchaço"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Durvet""
    }
  ]
}"
609,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
610,"{
  ""features"": [
    {
      ""categoria"": ""Camiseta"",
      ""material"": ""Algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Sortidas"",
      ""marca"": ""Fruit of the Loom""
    }
  ]
}"
611,"{
  ""features"": [
    {
      ""categoria"": ""Suporte para Mini PC"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HumanCentric""
    }
  ]
}"
612,"{
  ""features"": [
    {
      ""categoria"": ""Calculadora Científica"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Texas Instruments""
    }
  ]
}"
613,"{
  ""features"": [
    {
      ""categoria"": ""Water Filter Replacement"",
      ""material"": ""Carbon block"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pureline""
    }
  ]
}"
614,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de moda"",
      ""material"": ""Aço cromado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Prata/Preto"",
      ""marca"": ""DoubleK""
    }
  ]
}"
615,"{
  ""features"": [
    {
      ""categoria"": ""Caixa de som"",
      ""material"": ""MDF Wood"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Q Power""
    }
  ]
}"
616,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento de enzimas digestivas"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BioSchwartz""
    }
  ]
}"
617,"{
  ""features"": [
    {
      ""categoria"": ""Pajama Set"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Aria""
    }
  ]
}"
618,"{
  ""features"": [
    {
      ""categoria"": ""Kamado Grill"",
      ""material"": ""Ceramic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Aoxun""
    }
  ]
}"
619,"{
  ""features"": [
    {
      ""categoria"": ""Coleção de gravações de violinistas"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
620,"{
  ""features"": [
    {
      ""categoria"": ""Ferramentas automotivas"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Profissional"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Apeixoto""
    }
  ]
}"
621,"{
  ""features"": [
    {
      ""categoria"": ""tote bag"",
      ""material"": ""canvas"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Lands' End""
    }
  ]
}"
622,"{
  ""features"": [
    {
      ""categoria"": ""Financial Planner"",
      ""material"": ""Paper"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Greenery"",
      ""marca"": ""ZICOTO""
    }
  ]
}"
623,"{
  ""features"": [
    {
      ""categoria"": ""Rain Hat"",
      ""material"": ""Nylon and Cotton blend"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Available in two different colors"",
      ""marca"": ""Debra Weitzner""
    }
  ]
}"
624,"{
  ""features"": [
    {
      ""categoria"": ""Hood Shield"",
      ""material"": ""Impact-resistant acrylic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Smoke"",
      ""marca"": ""Auto Ventshade [AVS]""
    }
  ]
}"
625,"{
  ""features"": [
    {
      ""categoria"": ""Mobile Device Holder"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""WeatherTech""
    }
  ]
}"
626,"{
  ""features"": [
    {
      ""categoria"": ""Acessório Eletrônico"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Anbear""
    }
  ]
}"
627,"{
  ""features"": [
    {
      ""categoria"": ""Smartphone"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Charcoal"",
      ""marca"": ""Nokia""
    }
  ]
}"
628,"{
  ""features"": [
    {
      ""categoria"": ""Baking Tool"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""USA PR2647""
    }
  ]
}"
629,"{
  ""features"": [
    {
      ""categoria"": ""Acessório"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Rosa"",
      ""marca"": ""MZONE""
    }
  ]
}"
630,"{
  ""features"": [
    {
      ""categoria"": ""Cargo Pants"",
      ""material"": ""Pure Cotton"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Camouflage"",
      ""marca"": ""AKARMY""
    }
  ]
}"
631,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios de banheiro"",
      ""material"": ""Polyester Fabric"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Purple"",
      ""marca"": ""feitianshendan""
    }
  ]
}"
632,"{
  ""features"": [
    {
      ""categoria"": ""Protetor de Tela"",
      ""material"": ""TPU"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Preto, Transparente, Prata, Rosa Ouro, Rosa, Azul, Roxo"",
      ""marca"": ""NANW""
    }
  ]
}"
633,"{
  ""features"": [
    {
      ""categoria"": ""Door Mat"",
      ""material"": ""Polyester"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, Coffee, Gray"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
634,"{
  ""features"": [
    {
      ""categoria"": ""Antena de TV"",
      ""material"": ""Material resistente"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Five Star""
    }
  ]
}"
635,"{
  ""features"": [
    {
      ""categoria"": ""Wader"",
      ""material"": ""Outer shell: 100% nylon, Membrane: Bi-component Polyurethane, Liner: 100% nylon tricot"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Orvis""
    }
  ]
}"
636,"{
  ""features"": [
    {
      ""categoria"": ""Chain and Bracelet Sets"",
      ""material"": ""Stainless steel with a 18k gold plating"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Gold/Silver"",
      ""marca"": ""KRKC&CO""
    }
  ]
}"
637,"{
  ""features"": [
    {
      ""categoria"": ""Bedding Set"",
      ""material"": ""Sherpa, Micromink, Fleece"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Beautiful colour, blends perfectly with the rest of my bedroom theme"",
      ""marca"": ""Catalonia""
    }
  ]
}"
638,"{
  ""features"": [
    {
      ""categoria"": ""Wall Mirror"",
      ""material"": ""Metal, Wood, Glass"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White, Gold, Natural Wood, Black, Gray, Ivory"",
      ""marca"": ""Hamilton Hills""
    }
  ]
}"
639,"{
  ""features"": [
    {
      ""categoria"": ""Costume"",
      ""material"": ""Polyester"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MEILIS""
    }
  ]
}"
640,"{
  ""features"": [
    {
      ""categoria"": ""Lace Front Wigs"",
      ""material"": ""Brazilian Virgin Hair"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Natural Color"",
      ""marca"": ""PerisModa""
    }
  ]
}"
641,"{
  ""features"": [
    {
      ""categoria"": ""Hippie Costume Set"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""resposta(adulto)"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
642,"{
  ""features"": [
    {
      ""categoria"": ""Reading Glasses"",
      ""material"": ""Acrylic Aspheric Material Lens"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Nature Walk"",
      ""marca"": ""Peepers by PeeperSpecs""
    }
  ]
}"
643,"{
  ""features"": [
    {
      ""categoria"": ""Dirt Bike"",
      ""material"": ""Plastic Body"",
      ""Público-alvo"": ""Youth Kids"",
      ""cor"": ""Blue"",
      ""marca"": ""X-PRO""
    }
  ]
}"
644,"{
  ""features"": [
    {
      ""categoria"": ""Christmas Tree Skirt"",
      ""material"": ""100% Polyester Brush Cloth"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
645,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Fleece"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Nike""
    }
  ]
}"
646,"{
  ""features"": [
    {
      ""categoria"": ""Window Film Application Kit"",
      ""material"": ""Vinyl, Plastic, Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Diversas"",
      ""marca"": ""Viseeko""
    }
  ]
}"
647,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Poly"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Strawberry Mouse"",
      ""marca"": ""Carter's""
    }
  ]
}"
648,"{
  ""features"": [
    {
      ""categoria"": ""Facial Cleansing Pads"",
      ""material"": ""100% pure premium cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Swisspers""
    }
  ]
}"
649,"{
  ""features"": [
    {
      ""categoria"": ""Wooden Pretend Play Closet, Doll Wardrobe"",
      ""material"": ""Wooden"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""White"",
      ""marca"": ""Melissa & Doug""
    }
  ]
}"
650,"{
  ""features"": [
    {
      ""categoria"": ""roda"",
      ""material"": ""alumínio"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Wheel Master""
    }
  ]
}"
651,"{
  ""features"": [
    {
      ""categoria"": ""Watch"",
      ""material"": ""NATO Band"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Multicolor"",
      ""marca"": ""Daniel Wellington""
    }
  ]
}"
652,"{
  ""features"": [
    {
      ""categoria"": ""A/C Compressor"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Four Seasons""
    }
  ]
}"
653,"{
  ""features"": [
    {
      ""categoria"": ""Power Tools"",
      ""material"": ""High quality materials"",
      ""Público-alvo"": ""Professional"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BHTOP""
    }
  ]
}"
654,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Paperback"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""DORA THE EXPLORER""
    }
  ]
}"
655,"{
  ""features"": [
    {
      ""categoria"": ""coifa"",
      ""material"": ""aço inoxidável"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KOBE Range Hoods""
    }
  ]
}"
656,"{
  ""features"": [
    {
      ""categoria"": ""LED Light Bar"",
      ""material"": ""Diecast Aluminum, PC"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""6000K"",
      ""marca"": ""Northpole Light""
    }
  ]
}"
657,"{
  ""features"": [
    {
      ""categoria"": ""Toolbox"",
      ""material"": ""Metal"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Craftsman""
    }
  ]
}"
658,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Nike""
    }
  ]
}"
659,"{
  ""features"": [
    {
      ""categoria"": ""brinquedo"",
      ""material"": ""plástico"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""variadas"",
      ""marca"": ""LEGO""
    }
  ]
}"
660,"{
  ""features"": [
    {
      ""categoria"": ""Dog Treats"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Milk-Bone""
    }
  ]
}"
661,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de GPS"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Basics""
    }
  ]
}"
662,"{
  ""features"": [
    {
      ""categoria"": ""Stun Gun"",
      ""material"": ""Aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""VIPERTEK""
    }
  ]
}"
